,Unnamed: 0,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,full_date,hour
545,547,21,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Often,True,Moderately,Yes,1,Yes,2,1,Competitive prices,Reducing packaging waste,2023-06-12,4
546,548,31,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,No,5,Sometimes,3,2,Competitive prices,Customer service responsiveness,2023-06-12,4
547,549,36,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,Sometimes,2,No,2,2,User-friendly website/app interface,Customer service responsiveness,2023-06-12,4
548,550,35,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,categories,First page,2,No,Often,High shipping costs,Sometimes,True,Rarely,Sometimes,3,Yes,2,1,Product recommendations,Product quality and accuracy,2023-06-12,4
549,551,25,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,2,Sometimes,4,3,Product recommendations,Customer service responsiveness,2023-06-12,4
550,552,45,Female,Few times a month,Clothing and Fashion,Sometimes,Rarely,categories,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,No,2,1,User-friendly website/app interface,Customer service responsiveness,2023-06-12,4
551,553,36,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Filter,Multiple pages,2,Maybe,Often,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,1,Yes,2,1,Competitive prices,Reducing packaging waste,2023-06-12,4
552,554,36,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,Multiple pages,1,No,Often,High shipping costs,Often,True,Moderately,Sometimes,1,Sometimes,1,2,Wide product selection,Product quality and accuracy,2023-06-12,4
553,555,43,Male,Once a month,Beauty and Personal Care,Sometimes,Multiple times a day,Filter,Multiple pages,2,No,Always,Found a better price elsewhere,Often,True,Rarely,Sometimes,1,Yes,2,1,Competitive prices,Product quality and accuracy,2023-06-12,4
554,556,34,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,categories,Multiple pages,4,Maybe,Always,High shipping costs,Often,True,Occasionally,Yes,1,Yes,1,1,Competitive prices,Customer service responsiveness,2023-06-12,4
555,557,43,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,Multiple pages,2,No,Often,Changed my mind or no longer need the item,Often,True,Moderately,No,2,No,2,2,Competitive prices,Reducing packaging waste,2023-06-12,4
556,558,25,Female,Few times a month,Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Often,True,Moderately,No,2,No,2,2,Product recommendations,Customer service responsiveness,2023-06-12,4
557,559,43,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,2,2,Competitive prices,Customer service responsiveness,2023-06-12,4
558,560,56,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Filter,First page,2,No,Rarely,Changed my mind or no longer need the item,Often,True,Occasionally,Sometimes,3,Sometimes,3,2,Product recommendations,Product quality and accuracy,2023-06-12,4
559,561,32,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,No,3,3,Product recommendations,Customer service responsiveness,2023-06-12,4
560,562,21,Male,Once a week,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,4,Sometimes,3,2,Competitive prices,Customer service responsiveness,2023-06-12,4
561,563,34,Male,Less than once a month,Clothing and Fashion,No,Few times a week,categories,First page,2,No,Often,Found a better price elsewhere,Sometimes,True,Occasionally,No,2,No,3,3,User-friendly website/app interface,Customer service responsiveness,2023-06-12,4
562,564,34,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion,No,Multiple times a day,Keyword,Multiple pages,5,No,Always,Changed my mind or no longer need the item,Sometimes,True,Never,Yes,2,No,3,2,User-friendly website/app interface,Product quality and accuracy,2023-06-12,4
563,565,34,Female,Once a week,Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,2,No,Often,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,4,Sometimes,4,4,User-friendly website/app interface,Shipping speed and reliability,2023-06-12,15
564,566,45,Prefer not to say,Once a month,Clothing and Fashion,Sometimes,Few times a week,Keyword,First page,2,Maybe,Sometimes,others,Sometimes,True,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-12,20
565,567,45,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,2,4,Product recommendations,Product quality and accuracy,2023-06-12,20
566,568,45,Prefer not to say,Less than once a month,Home and Kitchen,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Never,Found a better price elsewhere,Rarely,True,Moderately,Sometimes,4,Yes,4,4,Competitive prices,Shipping speed and reliability,2023-06-12,20
567,569,45,Female,Few times a month,Groceries and Gourmet Food,Sometimes,Multiple times a day,categories,Multiple pages,3,Maybe,Often,Changed my mind or no longer need the item,Rarely,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Product quality and accuracy,2023-06-12,20
568,570,45,Female,Few times a month,Beauty and Personal Care,Yes,Few times a month,others,Multiple pages,3,Maybe,Rarely,Found a better price elsewhere,Often,True,Occasionally,Yes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-12,20
569,571,45,Prefer not to say,Once a week,Clothing and Fashion,Sometimes,Multiple times a day,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,4,Sometimes,3,4,Product recommendations,Product quality and accuracy,2023-06-12,20
570,572,25,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a month,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Rarely,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-12,20
571,573,45,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Always,True,Occasionally,Sometimes,3,Sometimes,3,3,User-friendly website/app interface,Product quality and accuracy,2023-06-12,20
572,574,60,Male,Once a week,Beauty and Personal Care,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-12,20
573,575,26,Male,Few times a month,Groceries and Gourmet Food,Sometimes,Few times a week,categories,Multiple pages,4,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness,2023-06-12,20
574,576,25,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-12,21
575,577,45,Female,Multiple times a week,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,2,Maybe,Sometimes,High shipping costs,Sometimes,True,Moderately,Yes,4,Sometimes,3,4,Competitive prices,Customer service responsiveness,2023-06-12,21
577,579,56,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Multiple times a day,categories,Multiple pages,4,No,Sometimes,Found a better price elsewhere,Often,True,Occasionally,Yes,3,Sometimes,3,4,Product recommendations,Customer service responsiveness,2023-06-12,21
578,580,45,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Yes,3,2,Competitive prices,Customer service responsiveness,2023-06-12,21
579,581,41,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,True,Moderately,Sometimes,4,Sometimes,3,3,Product recommendations,Product quality and accuracy,2023-06-12,21
580,582,23,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,Keyword,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-12,21
581,583,23,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,4,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-12,21
582,584,45,Female,Multiple times a week,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,High shipping costs,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-12,21
583,585,25,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,High shipping costs,Sometimes,True,Occasionally,Sometimes,4,Sometimes,4,4,Product recommendations,Reducing packaging waste,2023-06-12,21
584,586,25,Male,Multiple times a week,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Always,True,Moderately,Sometimes,3,Sometimes,3,2,Product recommendations,Product quality and accuracy,2023-06-12,21
585,587,23,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,4,Maybe,Sometimes,High shipping costs,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-12,21
586,588,23,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,User-friendly website/app interface,Customer service responsiveness,2023-06-12,21
587,589,23,Female,Once a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-12,21
588,590,23,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-12,21
589,591,23,Prefer not to say,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Always,True,Moderately,Sometimes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-12,21
590,592,23,Female,Multiple times a week,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Often,True,Moderately,Sometimes,3,Sometimes,3,5,Competitive prices,Customer service responsiveness,2023-06-12,21
591,593,23,Female,Once a week,Groceries and Gourmet Food,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Rarely,High shipping costs,Always,True,Moderately,Sometimes,4,Sometimes,3,4,Product recommendations,Customer service responsiveness,2023-06-12,21
592,594,23,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Rarely,True,Moderately,Sometimes,4,Sometimes,3,4,Product recommendations,Product quality and accuracy,2023-06-12,21
593,595,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Keyword,First page,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Sometimes,3,4,Competitive prices,Customer service responsiveness,2023-06-12,21
594,596,25,Female,Once a week,Beauty and Personal Care,Sometimes,Multiple times a day,categories,Multiple pages,4,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-12,21
595,597,23,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,4,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,4,Competitive prices,Customer service responsiveness,2023-06-12,21
596,598,23,Female,Once a week,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-12,21
597,599,23,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,High shipping costs,Sometimes,True,Occasionally,Sometimes,3,Sometimes,2,3,Wide product selection,Product quality and accuracy,2023-06-12,21
598,600,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,others,Sometimes,True,Heavily,Yes,2,Yes,2,2,Wide product selection,Product quality and accuracy,2023-06-13,3
599,601,23,Female,Once a week,Clothing and Fashion,Sometimes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Product quality and accuracy,2023-06-16,14
